"Variable1","Variable2","Spearman_rho","p_value"
"hormone1","hormone2",0.17508,0.002
"hormone1","hormone3",-0.00653,0.819
"hormone1","hormone4",0.01839,0.517
"hormone1","hormone5",-0.0581,0.0599
"hormone1","hormone6",-0.04742,0.0879
"hormone1","hormone7",0.0529,0.0659
"hormone1","hormone8",-0.02629,0.37
"hormone1","hormone10_generated",-0.00763,0.833
"hormone2","hormone3",0.10721,0.002
"hormone2","hormone4",0.00294,0.855
"hormone2","hormone5",0.01336,0.597
"hormone2","hormone6",0.00771,0.805
"hormone2","hormone7",0.15749,0.002
"hormone2","hormone8",0.00022,0.985
"hormone2","hormone10_generated",0.16729,0.002
"hormone3","hormone4",0.58367,0.002
"hormone3","hormone5",0.24109,0.002
"hormone3","hormone6",-0.08628,0.00799
"hormone3","hormone7",-0.01175,0.741
"hormone3","hormone8",0.03039,0.334
"hormone3","hormone10_generated",0.05288,0.0639
"hormone4","hormone5",0.05052,0.0919
"hormone4","hormone6",-0.04313,0.152
"hormone4","hormone7",-0.32492,0.002
"hormone4","hormone8",-0.03221,0.278
"hormone4","hormone10_generated",-0.14416,0.002
"hormone5","hormone6",0.08083,0.00799
"hormone5","hormone7",0.15431,0.002
"hormone5","hormone8",0.25896,0.002
"hormone5","hormone10_generated",0.01564,0.607
"hormone6","hormone7",0.12448,0.002
"hormone6","hormone8",-0.15215,0.002
"hormone6","hormone10_generated",0.03673,0.22
"hormone7","hormone8",0.09296,0.004
"hormone7","hormone10_generated",0.19999,0.002
"hormone8","hormone10_generated",-0.03806,0.216
